学齢,教科,単元名,学年,動画番号,動画ID,動画名,字幕ファイルURL
小学,算数(さんすう),10までのかず,小１,1,2861,1から5までのかず,/subtitles/2861.vtt
小学,算数(さんすう),10までのかず,小１,2,2862,6から10までのかず、0（れい）,/subtitles/2862.vtt
小学,算数(さんすう),10までのかず,小１,3,2863,かずをわける,/subtitles/2863.vtt
小学,算数(さんすう),たしざん,小１,1,2864,たしざん,/subtitles/2864.vtt
小学,算数(さんすう),たしざん,小１,2,2865,たしざんのしき,/subtitles/2865.vtt
小学,算数(さんすう),たしざん,小１,3,2866,たしざんのれんしゅう,/subtitles/2866.vtt
小学,算数(さんすう),ひきざん,小１,1,2867,ひきざん,/subtitles/2867.vtt
小学,算数(さんすう),ひきざん,小１,2,2868,ひきざん２,/subtitles/2868.vtt
小学,算数(さんすう),ひきざん,小１,3,2869,ひきざんのれんしゅう,/subtitles/2869.vtt
小学,算数(さんすう),20までのかず,小１,1,2870,20までのかず,/subtitles/2870.vtt
小学,算数(さんすう),20までのかず,小１,2,2871,20までのたしざん、ひきざん,/subtitles/2871.vtt
小学,算数(さんすう),20までのかず,小１,3,2872,20までのたしざん、ひきざん：れんしゅう,/subtitles/2872.vtt
小学,算数(さんすう),20までのかず,小１,4,2873,３つのかずのたしざん、ひきざん,/subtitles/2873.vtt
小学,算数(さんすう),20までのかず,小１,5,2874,３つのかずのたしざん、ひきざん：れんしゅう,/subtitles/2874.vtt
小学,算数(さんすう),10よりおおきいたしざん、ひきざん,小１,1,2876,10よりおおきくなる たしざん,/subtitles/2876.vtt
小学,算数(さんすう),10よりおおきいたしざん、ひきざん,小１,2,2875,10よりおおきくなる たしざん：れんしゅう,/subtitles/2875.vtt
小学,算数(さんすう),10よりおおきいたしざん、ひきざん,小１,3,2877,くりさがりのある ひきざん,/subtitles/2877.vtt
小学,算数(さんすう),10よりおおきいたしざん、ひきざん,小１,4,2878,くりさがりのある ひきざん：れんしゅう,/subtitles/2878.vtt
小学,算数(さんすう),100までのかず,小１,1,2879,２けたのかずとくらい,/subtitles/2879.vtt
小学,算数(さんすう),100までのかず,小１,2,2880,100までのかず,/subtitles/2880.vtt
小学,算数(さんすう),100までのかず,小１,3,2881,100より おおきいかず,/subtitles/2881.vtt
小学,算数(さんすう),100までのたしざん、ひきざん,小１,1,2947,100までのかずのたしざん、ひきざん①,/subtitles/2947.vtt
小学,算数(さんすう),100までのたしざん、ひきざん,小１,2,2948,100までのかずのたしざん、ひきざん②,/subtitles/2948.vtt
小学,算数(さんすう),100までのたしざん、ひきざん,小１,3,2949,100までのかずのたしざん、ひきざん：れんしゅう,/subtitles/2949.vtt
小学,算数(さんすう),とけいをよむ,小１,1,4473,とけいの よみかた,/subtitles/4473.vtt
小学,算数(さんすう),とけいをよむ,小１,2,4474,とけいの よみかた：れんしゅう,/subtitles/4474.vtt
小学,算数(さんすう),たしざん、ひきざんのぶんしょうだい,小１,1,2884,たしざんとひきざんのぶんしょうだい①,/subtitles/2884.vtt
小学,算数(さんすう),たしざん、ひきざんのぶんしょうだい,小１,2,2883,たしざんとひきざんのぶんしょうだい②,/subtitles/2883.vtt
小学,算数(さんすう),たしざん、ひきざんのぶんしょうだい,小１,3,2882,たしざんとひきざんのぶんしょうだい③,/subtitles/2882.vtt
小学,算数(さんすう),グラフとひょう,小２,1,4475,グラフとひょうで あらわそう,/subtitles/4475.vtt
小学,算数(さんすう),グラフとひょう,小２,2,4476,グラフとひょうで あらわそう：れんしゅう,/subtitles/4476.vtt
小学,算数(さんすう),２けた+１けたのたしざん,小２,1,2890,たしざん：２けた＋１けた（くりあがりなし）,/subtitles/2890.vtt
小学,算数(さんすう),２けた+１けたのたしざん,小２,2,2903,たしざん：２けた＋２けた（一のくらいが0）,/subtitles/2903.vtt
小学,算数(さんすう),２けた+１けたのたしざん,小２,3,2902,たしざん：れんしゅう①,/subtitles/2902.vtt
小学,算数(さんすう),２けた+１けたのたしざん,小２,4,2900,たしざん：２けた＋１けた（くりあがりあり）①,/subtitles/2900.vtt
小学,算数(さんすう),２けた+１けたのたしざん,小２,5,2901,たしざん：２けた＋１けた（くりあがりあり）②,/subtitles/2901.vtt
小学,算数(さんすう),２けた+１けたのたしざん,小２,6,2899,たしざん：れんしゅう②,/subtitles/2899.vtt
小学,算数(さんすう),２けた－１けたのひきざん,小２,1,2898,ひきざん：２けた－１けた（くりさがりなし）,/subtitles/2898.vtt
小学,算数(さんすう),２けた－１けたのひきざん,小２,2,2897,ひきざん：２けた－２けた（一のくらいが0）,/subtitles/2897.vtt
小学,算数(さんすう),２けた－１けたのひきざん,小２,3,2895,ひきざん：れんしゅう①,/subtitles/2895.vtt
小学,算数(さんすう),２けた－１けたのひきざん,小２,4,2896,ひきざん：２けた－１けた（くりさがりあり）①,/subtitles/2896.vtt
小学,算数(さんすう),２けた－１けたのひきざん,小２,5,2894,ひきざん：２けた－１けた（くりさがりあり）②,/subtitles/2894.vtt
小学,算数(さんすう),２けた－１けたのひきざん,小２,6,2893,ひきざん：れんしゅう②,/subtitles/2893.vtt
小学,算数(さんすう),２けたのひっさん,小２,1,2915,２けたのひっ算,/subtitles/2915.vtt
小学,算数(さんすう),２けたのひっさん,小２,2,2910,２けたのひっ算：れんしゅう（くりあがり、くりさがりなし）,/subtitles/2910.vtt
小学,算数(さんすう),２けたのひっさん,小２,3,2909,２けたのひっ算：たし算（くりあがりあり）,/subtitles/2909.vtt
小学,算数(さんすう),２けたのひっさん,小２,4,2911,２けたのひっ算：ひき算（くりさがりあり）,/subtitles/2911.vtt
小学,算数(さんすう),２けたのひっさん,小２,5,2912,ひき算のたしかめ,/subtitles/2912.vtt
小学,算数(さんすう),時間と生活,小２,1,2887,じかんをすすめる、もどす,/subtitles/2887.vtt
小学,算数(さんすう),時間と生活,小２,2,2886,じこくをかんがえよう,/subtitles/2886.vtt
小学,算数(さんすう),時間と生活,小２,3,2885,１にちのながさ,/subtitles/2885.vtt
小学,算数(さんすう),時間と生活,小２,4,2889,じかんをかんがえよう,/subtitles/2889.vtt
小学,算数(さんすう),ながさをはかる,小２,1,2892,ものさしとセンチメートル,/subtitles/2892.vtt
小学,算数(さんすう),ながさをはかる,小２,2,2891,センチメートルではかろう,/subtitles/2891.vtt
小学,算数(さんすう),ながさをはかる,小２,3,2905,ものさしとミリメートル,/subtitles/2905.vtt
小学,算数(さんすう),ながさをはかる,小２,4,2904,ミリメートルではかろう,/subtitles/2904.vtt
小学,算数(さんすう),ながさをはかる,小２,5,2914,ながさのたしざん、ひきざん,/subtitles/2914.vtt
小学,算数(さんすう),100より大きい数（３けたの数）,小２,1,2908,100より大きい数：百のくらい,/subtitles/2908.vtt
小学,算数(さんすう),100より大きい数（３けたの数）,小２,2,2906,100より大きい数：かん字を数字にする,/subtitles/2906.vtt
小学,算数(さんすう),100より大きい数（３けたの数）,小２,3,2907,100より大きい数：1000（千）,/subtitles/2907.vtt
小学,算数(さんすう),100より大きい数（３けたの数）,小２,4,2917,100より大きい数：数をくらべる,/subtitles/2917.vtt
小学,算数(さんすう),100より大きい数（３けたの数）,小２,5,2916,100より大きい数：たし算、ひき算（一のくらいが0）,/subtitles/2916.vtt
小学,算数(さんすう),かさをあらわす,小２,1,2913,かさをあらわす：リットル（L）,/subtitles/2913.vtt
小学,算数(さんすう),かさをあらわす,小２,2,2930,かさをあらわす：デシリットル（dL）,/subtitles/2930.vtt
小学,算数(さんすう),かさをあらわす,小２,3,2923,かさをあらわす：ミリリットル（ml）①,/subtitles/2923.vtt
小学,算数(さんすう),かさをあらわす,小２,4,2928,かさをあらわす：ミリリットル（ml）②,/subtitles/2928.vtt
小学,算数(さんすう),かさをあらわす,小２,5,2921,かさのけい算：たんいをかえる,/subtitles/2921.vtt
小学,算数(さんすう),かさをあらわす,小２,6,2922,かさのけい算：たし算、ひき算,/subtitles/2922.vtt
小学,算数(さんすう),２けたのたし算,小２,1,2920,２けたのたし算（十のくらいがくりあがり）,/subtitles/2920.vtt
小学,算数(さんすう),２けたのたし算,小２,2,2918,２けたのたし算（十のくらいがくりあがり：れんしゅう）,/subtitles/2918.vtt
小学,算数(さんすう),２けたのたし算,小２,3,2927,２けたのたし算（れんぞくしたくりあがり）,/subtitles/2927.vtt
小学,算数(さんすう),２けたのたし算,小２,4,2919,２けたのたし算（３つの数のひっ算）,/subtitles/2919.vtt
小学,算数(さんすう),３けた－２けたのひき算,小２,1,2929,３けた－２けたのひき算（十のくらいがくりさがり）,/subtitles/2929.vtt
小学,算数(さんすう),３けた－２けたのひき算,小２,2,2926,３けた－２けたのひき算（十のくらいがくりさがり：れんしゅう）,/subtitles/2926.vtt
小学,算数(さんすう),３けた－２けたのひき算,小２,3,2931,３けた－２けたのひき算（れんぞくしたくりさがり）,/subtitles/2931.vtt
小学,算数(さんすう),３けた－２けたのひき算,小２,4,2925,３けた－２けたのひき算（十のくらいが0のくりさがり）,/subtitles/2925.vtt
小学,算数(さんすう),３けた－２けたのひき算,小２,5,2924,３けた－２けたのひき算（十のくらいが0のくりさがり：れんしゅう）,/subtitles/2924.vtt
小学,算数(さんすう),計算のくふう,小２,1,4477,たしざんのきまり,/subtitles/4477.vtt
小学,算数(さんすう),計算のくふう,小２,2,4478,かっこ（ ）のきまり,/subtitles/4478.vtt
小学,算数(さんすう),計算のくふう,小２,3,4479,くふうしてけいさんしよう（たしざんのきまり）,/subtitles/4479.vtt
小学,算数(さんすう),三角形と四角形,小２,1,2944,三角形と四角形,/subtitles/2944.vtt
小学,算数(さんすう),三角形と四角形,小２,2,2943,辺とちょう点,/subtitles/2943.vtt
小学,算数(さんすう),三角形と四角形,小２,3,2942,直角と三角形,/subtitles/2942.vtt
小学,算数(さんすう),三角形と四角形,小２,4,2941,長方形と正方形,/subtitles/2941.vtt
小学,算数(さんすう),三角形と四角形,小２,5,2940,直角三角形、長方形、正方形をみつけよう,/subtitles/2940.vtt
小学,算数(さんすう),三角形と四角形,小２,6,2939,直角三角形、長方形、正方形をかこう,/subtitles/2939.vtt
小学,算数(さんすう),かけ算と九九,小２,1,2937,かけ算,/subtitles/2937.vtt
小学,算数(さんすう),かけ算と九九,小２,2,2938,かけ算のしき,/subtitles/2938.vtt
小学,算数(さんすう),かけ算と九九,小２,3,2934,九九：５のだん,/subtitles/2934.vtt
小学,算数(さんすう),かけ算と九九,小２,4,2932,九九：２のだん,/subtitles/2932.vtt
小学,算数(さんすう),かけ算と九九,小２,5,2933,九九：３のだん、４のだん,/subtitles/2933.vtt
小学,算数(さんすう),かけ算と九九,小２,6,2935,九九：６のだん、７のだん,/subtitles/2935.vtt
小学,算数(さんすう),かけ算と九九,小２,7,2936,九九：８のだん、９のだん、１のだん,/subtitles/2936.vtt
小学,算数(さんすう),九九のきまり,小２,1,4480,九九のひょう,/subtitles/4480.vtt
小学,算数(さんすう),九九のきまり,小２,2,4481,九九より大きいかずのかけざん,/subtitles/4481.vtt
小学,算数(さんすう),メートルであらわす,小２,1,2946,メートルであらわす,/subtitles/2946.vtt
小学,算数(さんすう),メートルであらわす,小２,2,2945,メートルとセンチメートル,/subtitles/2945.vtt
小学,算数(さんすう),1000より大きい数,小２,1,2951,1000より大きい数,/subtitles/2951.vtt
小学,算数(さんすう),1000より大きい数,小２,2,2952,1000より大きい数：れんしゅう,/subtitles/2952.vtt
小学,算数(さんすう),1000より大きい数,小２,3,2953,1000より大きい数：10000（万）,/subtitles/2953.vtt
小学,算数(さんすう),分数（２年生）,小２,1,4490,分数①,/subtitles/4490.vtt
小学,算数(さんすう),分数（２年生）,小２,2,4491,分数②,/subtitles/4491.vtt
小学,算数(さんすう),分数（２年生）,小２,3,4492,分数とばい,/subtitles/4492.vtt
小学,算数(さんすう),はこの形,小２,1,4482,はこの形,/subtitles/4482.vtt
小学,算数(さんすう),はこの形,小２,2,4483,はこの形の面,/subtitles/4483.vtt
小学,算数(さんすう),はこの形,小２,3,4486,はこの形のへん、ちょう点,/subtitles/4486.vtt
小学,算数(さんすう),文しょうだい（２年生）,小２,1,2956,文しょうだい：図をつかう①,/subtitles/2956.vtt
小学,算数(さんすう),文しょうだい（２年生）,小２,2,2957,文しょうだい：図をつかう②,/subtitles/2957.vtt
小学,算数(さんすう),文しょうだい（２年生）,小２,3,2958,文しょうだい：ちがいから かんがえる,/subtitles/2958.vtt
小学,算数(さんすう),文しょうだい（２年生）,小２,4,2959,文しょうだい：３つの数,/subtitles/2959.vtt
小学,算数(さんすう),文しょうだい（２年生）,小２,5,2960,文しょうだい：かけ算,/subtitles/2960.vtt
小学,算数(さんすう),かけ算のおさらい,小３,1,4484,×10のかけ算,/subtitles/4484.vtt
小学,算数(さんすう),かけ算のおさらい,小３,2,4485,×10より大きいかけ算,/subtitles/4485.vtt
小学,算数(さんすう),かけ算のおさらい,小３,3,4487,0の入ったかけ算,/subtitles/4487.vtt
小学,算数(さんすう),かけ算のおさらい,小３,4,4488,◻︎の入ったかけ算,/subtitles/4488.vtt
小学,算数(さんすう),かけ算のおさらい,小３,5,4489,◻︎の入ったかけ算：れんしゅう,/subtitles/4489.vtt
小学,算数(さんすう),わり算,小３,1,2961,わり算のしき,/subtitles/2961.vtt
小学,算数(さんすう),わり算,小３,2,2962,わり算のとき方,/subtitles/2962.vtt
小学,算数(さんすう),わり算,小３,3,2963,わり算のれんしゅう①,/subtitles/2963.vtt
小学,算数(さんすう),わり算,小３,4,2964,〇こずつ分ける、〇人で分ける,/subtitles/2964.vtt
小学,算数(さんすう),わり算,小３,5,2965,わり算のれんしゅう②,/subtitles/2965.vtt
小学,算数(さんすう),わり算,小３,6,2966,0をわる わり算,/subtitles/2966.vtt
小学,算数(さんすう),九九にないわり算,小３,1,2967,九九にないわり算①（一のくらいが0）,/subtitles/2967.vtt
小学,算数(さんすう),九九にないわり算,小３,2,2968,九九にないわり算②（２けたの数）,/subtitles/2968.vtt
小学,算数(さんすう),九九にないわり算,小３,3,2969,九九にないわり算：れんしゅう,/subtitles/2969.vtt
小学,算数(さんすう),３けたのたし算、ひき算（筆算）,小３,1,2973,３けた＋３けたのたし算①（こたえが３けた）,/subtitles/2973.vtt
小学,算数(さんすう),３けたのたし算、ひき算（筆算）,小３,2,2974,３けた＋３けたのたし算②（こたえが４けた）,/subtitles/2974.vtt
小学,算数(さんすう),３けたのたし算、ひき算（筆算）,小３,3,2975,３けた－３けたのひき算①（くりさがり）,/subtitles/2975.vtt
小学,算数(さんすう),３けたのたし算、ひき算（筆算）,小３,4,2976,３けた－３けたのひき算②（百のくらいからのくりさがり）,/subtitles/2976.vtt
小学,算数(さんすう),３けたのたし算、ひき算（筆算）,小３,5,2977,４けたの筆算,/subtitles/2977.vtt
小学,算数(さんすう),時間と時こく,小３,1,2988,時間の長さをもとめる①,/subtitles/2988.vtt
小学,算数(さんすう),時間と時こく,小３,2,2989,時間の長さをもとめる②,/subtitles/2989.vtt
小学,算数(さんすう),時間と時こく,小３,3,2990,時こくをもとめる①,/subtitles/2990.vtt
小学,算数(さんすう),時間と時こく,小３,4,2991,時こくをもとめる②,/subtitles/2991.vtt
小学,算数(さんすう),時間と時こく,小３,5,2992,時間をあらわす：秒（びょう）,/subtitles/2992.vtt
小学,算数(さんすう),大きな数と計算,小３,1,4538,10000より大きな数,/subtitles/4538.vtt
小学,算数(さんすう),大きな数と計算,小３,2,4539,億（おく）までの数,/subtitles/4539.vtt
小学,算数(さんすう),大きな数と計算,小３,3,2982,大きな数（千万まで）：れんしゅう,/subtitles/2982.vtt
小学,算数(さんすう),大きな数と計算,小３,4,4540,数直線,/subtitles/4540.vtt
小学,算数(さんすう),大きな数と計算,小３,5,4541,いろいろな大きさの数直線,/subtitles/4541.vtt
小学,算数(さんすう),大きな数と計算,小３,6,4542,大きな数をくらべる（不等号）,/subtitles/4542.vtt
小学,算数(さんすう),大きな数と計算,小３,7,2985,10をかける計算,/subtitles/2985.vtt
小学,算数(さんすう),大きな数と計算,小３,8,2986,×10、×100の計算,/subtitles/2986.vtt
小学,算数(さんすう),大きな数と計算,小３,9,2987,÷10、÷100の計算,/subtitles/2987.vtt
小学,算数(さんすう),表とぼうグラフ,小３,1,3029,正で数えよう、表にまとめよう,/subtitles/3029.vtt
小学,算数(さんすう),表とぼうグラフ,小３,2,3028,ぼうグラフをかこう,/subtitles/3028.vtt
小学,算数(さんすう),表とぼうグラフ,小３,3,3027,ぼうグラフをよみとる①１つのグラフ,/subtitles/3027.vtt
小学,算数(さんすう),表とぼうグラフ,小３,4,3026,ぼうグラフをよみとる②２つのグラフ,/subtitles/3026.vtt
小学,算数(さんすう),表とぼうグラフ,小３,5,4507,表やグラフのくふう,/subtitles/4507.vtt
小学,算数(さんすう),暗算で計算しよう,小３,1,4504,100からひく引き算,/subtitles/4504.vtt
小学,算数(さんすう),暗算で計算しよう,小３,2,4505,２けたのたし算の暗算,/subtitles/4505.vtt
小学,算数(さんすう),暗算で計算しよう,小３,3,4506,２けたのひき算の暗算,/subtitles/4506.vtt
小学,算数(さんすう),長さをあらわす：km（キロメートル）,小３,1,2993,長さをあらわす：km（キロメートル）,/subtitles/2993.vtt
小学,算数(さんすう),長さをあらわす：km（キロメートル）,小３,2,2994,km（キロメートル）⇔m（メートル）,/subtitles/2994.vtt
小学,算数(さんすう),長さをあらわす：km（キロメートル）,小３,3,2995,ながさの計算,/subtitles/2995.vtt
小学,算数(さんすう),あまりのあるわり算,小３,1,2999,あまりのあるわり算,/subtitles/2999.vtt
小学,算数(さんすう),あまりのあるわり算,小３,2,2998,あまりとわる数のきまり,/subtitles/2998.vtt
小学,算数(さんすう),あまりのあるわり算,小３,3,2997,あまりのあるわり算：練習,/subtitles/2997.vtt
小学,算数(さんすう),あまりのあるわり算,小３,4,2996,あまりのあるわり算のたしかめ,/subtitles/2996.vtt
小学,算数(さんすう),あまりのあるわり算,小３,5,3000,あまりのあるわり算：文しょうだい,/subtitles/3000.vtt
小学,算数(さんすう),かけ算の筆算（×１けた）,小３,1,3006,２けた×１けた（一のくらいが0）,/subtitles/3006.vtt
小学,算数(さんすう),かけ算の筆算（×１けた）,小３,2,3007,２けた×１けた（一のくらいが0）：れんしゅう,/subtitles/3007.vtt
小学,算数(さんすう),かけ算の筆算（×１けた）,小３,3,3014,かけ算の筆算,/subtitles/3014.vtt
小学,算数(さんすう),かけ算の筆算（×１けた）,小３,4,3013,かけ算の筆算：一のくらいでくりあがる,/subtitles/3013.vtt
小学,算数(さんすう),かけ算の筆算（×１けた）,小３,5,3011,かけ算の筆算：十のくらいでくりあがる,/subtitles/3011.vtt
小学,算数(さんすう),かけ算の筆算（×１けた）,小３,6,3012,かけ算の筆算：つづけてくりあがる,/subtitles/3012.vtt
小学,算数(さんすう),かけ算の筆算（×１けた）,小３,7,3019,かけ算の筆算：３けた×１けた,/subtitles/3019.vtt
小学,算数(さんすう),円と球（きゅう）,小３,1,2970,円,/subtitles/2970.vtt
小学,算数(さんすう),円と球（きゅう）,小３,2,2971,円 もんだい,/subtitles/2971.vtt
小学,算数(さんすう),円と球（きゅう）,小３,3,2972,球（きゅう）,/subtitles/2972.vtt
小学,算数(さんすう),重さをあらわす,小３,1,3018,重さのたんい：グラム（g）,/subtitles/3018.vtt
小学,算数(さんすう),重さをあらわす,小３,2,3017,重さのたんい：キログラム（kg）,/subtitles/3017.vtt
小学,算数(さんすう),重さをあらわす,小３,3,3016,重さの計算,/subtitles/3016.vtt
小学,算数(さんすう),重さをあらわす,小３,4,3015,重さのたんい：トン（t）,/subtitles/3015.vtt
小学,算数(さんすう),重さをあらわす,小３,5,4496,たんいのかんけい,/subtitles/4496.vtt
小学,算数(さんすう),分数（３年生）,小３,1,3025,分数①,/subtitles/3025.vtt
小学,算数(さんすう),分数（３年生）,小３,2,3024,分数②,/subtitles/3024.vtt
小学,算数(さんすう),分数（３年生）,小３,3,3023,分数の大きさ（数直線）,/subtitles/3023.vtt
小学,算数(さんすう),分数（３年生）,小３,4,3022,分数の大小,/subtitles/3022.vtt
小学,算数(さんすう),分数（３年生）,小３,5,3021,分数の足し算、引き算,/subtitles/3021.vtt
小学,算数(さんすう),分数（３年生）,小３,6,3020,分数の足し算、引き算：練習,/subtitles/3020.vtt
小学,算数(さんすう),小数（３年生）,小３,1,3057,小数①,/subtitles/3057.vtt
小学,算数(さんすう),小数（３年生）,小３,2,3056,小数②,/subtitles/3056.vtt
小学,算数(さんすう),小数（３年生）,小３,3,3058,小数であらわす,/subtitles/3058.vtt
小学,算数(さんすう),小数（３年生）,小３,4,3059,小数の大小,/subtitles/3059.vtt
小学,算数(さんすう),小数（３年生）,小３,5,3060,小数の足し算、引き算,/subtitles/3060.vtt
小学,算数(さんすう),小数（３年生）,小３,6,3061,小数の足し算、引き算（筆算）,/subtitles/3061.vtt
小学,算数(さんすう),小数（３年生）,小３,7,3062,小数の足し算、引き算（筆算）：練習,/subtitles/3062.vtt
小学,算数(さんすう),三角形,小３,1,3003,二等辺三角形と正三角形,/subtitles/3003.vtt
小学,算数(さんすう),三角形,小３,2,3002,二等辺三角形と正三角形をさがそう,/subtitles/3002.vtt
小学,算数(さんすう),三角形,小３,3,3001,三角形と角,/subtitles/3001.vtt
小学,算数(さんすう),×２けたの筆算,小３,1,3071,×２けたのかけ算：一の位が0,/subtitles/3071.vtt
小学,算数(さんすう),×２けたの筆算,小３,2,3068,×２けたのかけ算：一の位が0（練習）,/subtitles/3068.vtt
小学,算数(さんすう),×２けたの筆算,小３,3,3070,×２けたのかけ算：筆算,/subtitles/3070.vtt
小学,算数(さんすう),×２けたの筆算,小３,4,3069,×２けたのかけ算：筆算（練習①）,/subtitles/3069.vtt
小学,算数(さんすう),×２けたの筆算,小３,5,3067,×２けたのかけ算：筆算（練習②0が入った筆算）,/subtitles/3067.vtt
小学,算数(さんすう),×２けたの筆算,小３,6,3066,×２けたのかけ算：３けた×２けた,/subtitles/3066.vtt
小学,算数(さんすう),□が入った式,小３,1,3065,□が入った足し算,/subtitles/3065.vtt
小学,算数(さんすう),□が入った式,小３,2,3064,□が入ったひき算,/subtitles/3064.vtt
小学,算数(さんすう),□が入った式,小３,3,3063,□が入ったかけ算,/subtitles/3063.vtt
小学,算数(さんすう),□が入った式,小３,4,3080,□が入ったわり算,/subtitles/3080.vtt
小学,算数(さんすう),文章題（３年生）,小３,1,3079,文章題（３年）：何倍かをもとめる,/subtitles/3079.vtt
小学,算数(さんすう),文章題（３年生）,小３,2,3078,文章題（３年）：かけ算の入った式,/subtitles/3078.vtt
小学,算数(さんすう),文章題（３年生）,小３,3,3077,文章題（３年）：わり算の入った式,/subtitles/3077.vtt
小学,算数(さんすう),文章題（３年生）,小３,4,3076,文章題（３年）：まとめて計算する,/subtitles/3076.vtt
小学,算数(さんすう),大きな数（億、兆）とかけ算,小４,1,3081,億より大きな位,/subtitles/3081.vtt
小学,算数(さんすう),大きな数（億、兆）とかけ算,小４,2,3097,兆の位,/subtitles/3097.vtt
小学,算数(さんすう),大きな数（億、兆）とかけ算,小４,3,3092,×３けたのかけ算,/subtitles/3092.vtt
小学,算数(さんすう),大きな数（億、兆）とかけ算,小４,4,3091,×３けたのかけ算：練習,/subtitles/3091.vtt
小学,算数(さんすう),折れ線グラフ,小４,1,3094,折れ線グラフ①,/subtitles/3094.vtt
小学,算数(さんすう),折れ線グラフ,小４,2,3093,折れ線グラフ②,/subtitles/3093.vtt
小学,算数(さんすう),折れ線グラフ,小４,3,4546,表を使った整理,/subtitles/4546.vtt
小学,算数(さんすう),わり算の筆算,小４,1,3087,わられる数の最後が0のわり算,/subtitles/3087.vtt
小学,算数(さんすう),わり算の筆算,小４,2,3086,わられる数の最後が0のわり算：練習,/subtitles/3086.vtt
小学,算数(さんすう),わり算の筆算,小４,3,3088,わり算の筆算①,/subtitles/3088.vtt
小学,算数(さんすう),わり算の筆算,小４,4,3085,わり算の筆算①練習,/subtitles/3085.vtt
小学,算数(さんすう),わり算の筆算,小４,5,3084,わり算の筆算②あまりのあるわり算,/subtitles/3084.vtt
小学,算数(さんすう),わり算の筆算,小４,6,3083,わり算の筆算③３けたのわり算,/subtitles/3083.vtt
小学,算数(さんすう),わり算の筆算,小４,7,3082,わり算の筆算④３けたのわり算 続き,/subtitles/3082.vtt
小学,算数(さんすう),角,小４,1,3075,角度をはかる①,/subtitles/3075.vtt
小学,算数(さんすう),角,小４,2,3074,角度をはかる②、角をかく,/subtitles/3074.vtt
小学,算数(さんすう),角,小４,3,4493,角度をはかる③180°より大きい角,/subtitles/4493.vtt
小学,算数(さんすう),角,小４,4,3073,直角や直線にできる角,/subtitles/3073.vtt
小学,算数(さんすう),角,小４,5,3072,特別な三角形の角,/subtitles/3072.vtt
小学,算数(さんすう),直線と四角形,小４,1,3165,垂直と平行,/subtitles/3165.vtt
小学,算数(さんすう),直線と四角形,小４,2,3164,垂直、平行な辺をさがそう,/subtitles/3164.vtt
小学,算数(さんすう),直線と四角形,小４,3,4499,平行な線にできる角,/subtitles/4499.vtt
小学,算数(さんすう),直線と四角形,小４,4,3163,垂直、平行な線の書き方,/subtitles/3163.vtt
小学,算数(さんすう),直線と四角形,小４,5,3169,台形、平行四辺形,/subtitles/3169.vtt
小学,算数(さんすう),直線と四角形,小４,6,3168,平行四辺形のきまり,/subtitles/3168.vtt
小学,算数(さんすう),直線と四角形,小４,7,3167,平行四辺形のきまり：練習,/subtitles/3167.vtt
小学,算数(さんすう),直線と四角形,小４,8,3166,ひし形,/subtitles/3166.vtt
小学,算数(さんすう),直線と四角形,小４,9,3170,対角線と四角形,/subtitles/3170.vtt
小学,算数(さんすう),小数（４年生）,小４,1,3107,小数（小数第二位）①,/subtitles/3107.vtt
小学,算数(さんすう),小数（４年生）,小４,2,3106,小数（小数第二位）②,/subtitles/3106.vtt
小学,算数(さんすう),小数（４年生）,小４,3,3105,小数を10倍する、10でわる,/subtitles/3105.vtt
小学,算数(さんすう),小数（４年生）,小４,4,3104,小数を使った単位のいいかえ,/subtitles/3104.vtt
小学,算数(さんすう),小数（４年生）,小４,5,3103,小数の足し算（筆算）,/subtitles/3103.vtt
小学,算数(さんすう),小数（４年生）,小４,6,3102,小数の引き算（筆算）,/subtitles/3102.vtt
小学,算数(さんすう),２けたでわる わり算の筆算,小４,1,3148,÷２けたのわり算：一の位が0,/subtitles/3148.vtt
小学,算数(さんすう),２けたでわる わり算の筆算,小４,2,3147,÷２けたのわり算：一の位が0（あまりあり）,/subtitles/3147.vtt
小学,算数(さんすう),２けたでわる わり算の筆算,小４,3,3146,÷２けたのわり算：一の位が0（練習）,/subtitles/3146.vtt
小学,算数(さんすう),２けたでわる わり算の筆算,小４,4,3145,÷２けたのわり算：筆算,/subtitles/3145.vtt
小学,算数(さんすう),２けたでわる わり算の筆算,小４,5,3144,÷２けたのわり算：商の立て方,/subtitles/3144.vtt
小学,算数(さんすう),２けたでわる わり算の筆算,小４,6,3143,３けた÷２けたのわり算,/subtitles/3143.vtt
小学,算数(さんすう),２けたでわる わり算の筆算,小４,7,3153,３けた÷２けたのわり算（あまりあり）,/subtitles/3153.vtt
小学,算数(さんすう),２けたでわる わり算の筆算,小４,8,3152,３けた÷２けたのわり算（商が２けた）,/subtitles/3152.vtt
小学,算数(さんすう),２けたでわる わり算の筆算,小４,9,3151,３けた÷２けたのわり算（商が２けた：練習）,/subtitles/3151.vtt
小学,算数(さんすう),２けたでわる わり算の筆算,小４,10,3150,４けた÷２けたのわり算,/subtitles/3150.vtt
小学,算数(さんすう),計算のきまり,小４,1,3090,計算のきまり①,/subtitles/3090.vtt
小学,算数(さんすう),計算のきまり,小４,2,3089,計算のきまり①練習,/subtitles/3089.vtt
小学,算数(さんすう),計算のきまり,小４,3,3096,計算のきまり②,/subtitles/3096.vtt
